PLAY "Jouer"

THROWS "{1} lance {2}."

THRUST "Tu enfonces ton/ta {1} dans {2}."

THRUSTS "{1} enfonce {2} {3} dans {4}."

THRUSTS_ITSELF "{1} se jette sur {2}."

THRUST_YOURSELF "Tu te jettes sur {1}."

TIME_REMAINING_TILL_DAY "Temps restant jusqu'au jour."

TIME_REMAINING_TILL_NIGHTFALL "Temps restant jusqu'à la nuit."

SUNLIGHT_INFO_DESCRIPTION_AND_TIMEOUT "{1} [{2}]"

DAY "jour"

NIGHT "nuit"

TORSO_BODY_PART "torse"
"torses" : plural

TOUCH "Tu touches {1}."

TOUCHES "{1} touche {2}."

TRANSFER_TASK "Aller sur place"

TRAVEL_COMMAND_TIP "Utilise la commande voyager en contrôlant un sbire ou une équipe pour aller ailleurs."

UNREALIZED_EXPERIENCE_LABEL "Expérience non réalisée :"

UNRESTRICT_ALL_EQUIPMENT "Retirer toutes les restrictions d'équipement"

UPGRADES_NEED_TO_BE_PLACED_IN_STORAGE "Note que les améliorations doivent être dans l'entrepôt avant de pouvoir être ajoutées."

UPLOAD_BUTTON "Téléverser"

UPDATE_BUTTON "Mettre à jour"

USED_WHEN_NO_WEAPON "Utilisé quand aucune arme n'est équipée."

VILLAGE_ACTION_PILLAGE "piller"

VILLAGE_ACTION_TRADE "commercer"

VILLAIN_ATTACKING "attaquant"

VISUAL_EFFECT_DESCRIPTION "Juste un effet visuel."

VISUAL_EFFECT_NAME "effet visuel"

VULGAR "vulgaire"

WAIT_HOW_MANY_TURNS "Attendre combien de tours ?"

WAIT_MULTIPLE_TURNS "Attendre plusieurs tours"

WALKING_INTO_FIRE_WARNING "Marcher dans le feu ou sur les cases adjacentes te blessera. Continuer ?"

WATER_VERY_DEEP_WARNING "L'eau est très profonde, es-tu sûr ?"

WAVES "{1} agite {2} {3} vers {4}."

WAVE "Tu agites ton/ta {1} vers {2}."

X_TO_CLEAR "pour effacer"

YES_AND_DONT_ASK_FOR_50_TURNS "Oui, et ne plus demander pendant 50 tours."

YOU_AFRAID "Soudain, tu as très peur."

YOU_AGGRAVATE_ENEMIES "Tu provoques les ennemis."

YOU_ANGRY "Soudain, tu es très en colère !"

YOU_ANGRY_HALLU "Ce sera un très long voyage."

YOU_APPLY "Tu appliques {1}."

YOU_ARE_BURNING "Tu es en feu !"

YOU_ARE_CARRYING_TOO_MUCH "Tu portes trop pour ramasser ça."

YOU_ARE_EATEN_BY "Tu es dévoré par {1} !"

YOU_ARE_EXTINGUISHED "Tes flammes s'éteignent."

YOU_ARE_LESS_AWARE_OF_DANGER "Tu es moins conscient du danger."

YOU_ARE_LESS_PEACEFUL "Tu es moins pacifique."

YOU_ARE_LESS_RESISTANT_TO_CAPTURING "Tu es moins résistant à la capture."

YOU_ARE_MENTALLY_STABLE_AGAIN "Tu te sens de nouveau mentalement stable."

YOU_ARE_MENTALLY_UNSTABLE "Tu te sens mentalement instable !"

YOU_ARE_NO_LONGER_COVERED_IN_OIL "Tu n'es plus couvert d'huile."

YOU_ARE_NO_LONGER_FROZEN "Tu dégèles."

YOU_ARE_NO_LONGER_POISONED "Tu n'es plus empoisonné."

YOU_ARE_NO_LONGER_TELEPATHIC "Tu n'es plus télépathe."

YOU_ARE_STANDING_SOMEWHERE_ELSE "Tu te tiens ailleurs !"

YOU_BURN_TO_DEATH "Tu meurs brûlé !"
YOU_CAN_CAST_SPELLS_AGAIN "Tu peux à nouveau lancer des sorts !"

YOU_CAN_SEE_IN_THE_DARK "Tu peux maintenant voir dans l'obscurité !"

YOU_CAN_SEE_THRU_ARROWSLITS "Tu peux voir et tirer à travers les meurtrières !"

YOU_CAN_SEE_THRU_TREES "Tu peux voir à travers les arbres !"

YOU_CANT_PICK_UP_ANYTHING "Tu ne peux rien ramasser !"

YOU_CANT_REMOVE_THIS_ITEM "Tu ne peux pas retirer cet objet."

YOU_CANT_SEE_IN_THE_DARK "Tu ne peux plus voir dans l'obscurité."

YOU_CANT_SEE_THRU_ARROWSLITS "Tu ne peux plus voir à travers les meurtrières."

YOU_CANT_SEE_THRU_TREES "Tu ne peux plus voir à travers les arbres."

YOU_CANT_TRAVEL_WHILE "Tu ne peux pas voyager pendant que {2} !"

YOU_CANT_USE_THIS_ITEM "Tu ne peux pas utiliser cet objet."

YOU_CAPTURED "Tu as été capturé !"

YOU_CHAT_WITH "Tu parles avec {1}."

YOU_COLLAPSE "Tu tombes au sol !"

YOU_COVER_YOUR_NOSE "Tu te couvres le nez."

YOU_DIE_OF_PLAGUE "Tu meurs de la peste !"

YOU_DISMOUNT "Tu descends de {1}."

YOU_DONT_HAVE_THIS_SKILL "Tu n'as pas cette compétence."

YOU_DONT_KNOW_HOW_TO_LEAVE "Tu ne sais pas comment quitter cette zone."

YOU_DRINK "Tu bois {1}."

YOU_ENTER_PORTAL "Tu entres dans le portail."

YOU_EQUIP "Tu équipes {1}."

YOU_FALL_ASLEEP "Tu t'endors."

YOU_FALL_OFF "Tu tombes de {1} !"

YOU_FALL_ON_THE "Tu tombes sur {1} !"

YOU_FEEL_LIKE_A_DANCING_FOOL "Tu te sens comme un imbécile qui danse !"

YOU_FREAK_OUT "Tu paniques !"

YOU_GIVE_ITEM_TO "Tu donnes {1} à {2}."

YOU_HAVE_NO_HEALTHY_ARMS "Tu n'as pas de bras sains !"

YOU_HEAR_A_LOUD_SPLASH "Tu entends un gros plouf."

YOU_HEAR_HORRIBLE_SCREAM "Tu entends un cri horrible !"

YOU_HEAR_SNORING "Tu entends des ronflements."

YOU_HEAR_SOMEONE_DROWNING "Tu entends un gros plouf."

YOU_NO_LONGER_AGGRAVATE_ENEMIES "Tu ne provoques plus les ennemis."

YOU_NO_LONGER_INVISIBLE "Tu n'es plus invisible."

YOU_PET "Tu caresses {1}."

YOU_PUT_ON_SUNGLASSES "Tu mets des lunettes de soleil."

YOUR_BREATH_IS_FRESH_AGAIN "Ton haleine est de nouveau fraîche."

YOUR_BREATH_STINKS "Ton haleine pue !"

YOUR_CARRY_CAPACITY_INCREASES "Ta capacité de charge augmente."

YOUR_CARRY_CAPACITY_IS_LIMITED_AGAIN "Ta capacité de charge est de nouveau limitée."

YOU_READ "Tu lis {1}."

YOU_REGAIN_CONSIOUSNESS "Tu reprends conscience."

YOU_REGAIN_SANITY "Tu retrouves la raison."

YOU_REMOVE_SUNGLASSES "Tu enlèves les lunettes de soleil."

YOU_RETURN_TO_YOUR_PREVIOUS_FORM "Tu retournes à ta forme précédente."

YOUR_INFECTION_SUBSIDES "Ton infection diminue."

YOUR_LIFE_WILL_BE_SAVED "Ta vie sera sauvée."

YOUR_SPURS_STOP_SPINNING "Tes éperons cessent de tourner."

YOU_SHATTER "Tu te brises en mille morceaux !"

SHATTERS "{1} se brise en mille morceaux."

YOU_SPIN_YOUR_SPURS "Tu fais tourner tes éperons."

YOU_STOP_BURNING "Tu cesses de brûler."

YOU_THROW "Tu lances {1}."

YOU_TRIGGER_SOMETHING "Tu as déclenché quelque chose."

YOU_WAKE_UP "Tu te réveilles !"

PARENTHESES "({1})"

SPACE "{1} {2}"

AND "{1} et {2}"

NO_SPACE "{1}{2}"

BODY_SIZE_AND_MATERIAL_AND_LIMBS "{1} et fait de {2} {3}."

WITH_LIMB "avec {1}"

BUFF_DESC_PREGNANT "Ce n'est pas un rêve ! Ça arrive vraiment !"

BUFF_DESC_SLOWED "Provoque un mouvement anormalement lent."

BUFF_DESC_SPEED "Accorde un mouvement supplémentaire à chaque tour."

BUFF_DESC_BLIND "Provoque la cécité."

BUFF_DESC_INVISIBLE "Te rend invisible aux ennemis."

BUFF_DESC_PLAGUE "Diminue la santé à chaque tour quand elle est au-dessus de 50%. Un petit pourcentage de créatures peut mourir, d'autres ne subissent pas de perte de santé."

BUFF_DESC_PLAGUE_RESISTANT "Protège contre l'infection de la peste."

BUFF_DESC_POISON "Diminue un peu la santé à chaque tour."

BUFF_DESC_POISON_RESISTANT "Confère une résistance au poison."

BUFF_DESC_FLYING "Provoque la lévitation."

BUFF_DESC_COLLAPSED "Se déplacer sur les cases prend trois fois plus de temps."

BUFF_DESC_PANIC "Augmente la défense et réduit les dégâts."

BUFF_DESC_RAGE "Augmente les dégâts et réduit la défense."

BUFF_DESC_HALLU "Provoque des hallucinations."

BUFF_DESC_SLEEP_RESISTANT "Empêche d'être endormi."

BUFF_DESC_SLEEP "Endort."

BUFF_DESC_IMMOBILE "La créature ne bouge pas."

BUFF_DESC_TIED_UP "toile d'araignée"

BUFF_DESC_ENTANGLED "toile d'araignée"

BUFF_DESC_STUNNED "Permet d'asservir comme prisonnier ; sinon, la créature mourra."

BUFF_DESC_INSANITY "Rend la créature hostile à toutes les créatures."

BUFF_DESC_PEACEFULNESS "Rend la créature amicale avec toutes les créatures."

BUFF_DESC_CAPTURE_RESISTANCE "Augmente la défense de 30% quand l'ordre de capture est donné."

BUFF_DESC_DARKNESS_SOURCE "Rend la zone proche obscure. Protège les non-morts de la lumière du soleil."

BUFF_DESC_LIGHT_SOURCE "Illumine les alentours proches."

BUFF_DESC_NIGHT_VISION "Accorde la vision dans l'obscurité à distance complète."

BUFF_DESC_ELF_VISION "Permet de voir et de tirer à travers les arbres."

BUFF_DESC_ARCHER_VISION "Permet de voir et de tirer à travers les meurtrières."

BUFF_DESC_WARNING "Avertit des ennemis et des pièges dangereux."

BUFF_DESC_TELEPATHY "Permet de détecter les autres créatures avec un cerveau."

BUFF_DESC_SUNLIGHT_VULNERABLE "La lumière du soleil fait que ton corps se réduit en poussière."

BUFF_DESC_SATIATED "Augmente le moral et améliore la défense de +1."

BUFF_DESC_RESTED "Augmente le moral et améliore la défense de +1."

BUFF_DESC_SUMMONED "Disparaîtra après le nombre de tours indiqué."

BUFF_DESC_FAST_CRAFTING "Augmente la vitesse de fabrication."

BUFF_DESC_FAST_TRAINING "Augmente la vitesse d'entraînement et d'étude."

BUFF_DESC_SLOW_CRAFTING "Diminue la vitesse de fabrication."

BUFF_DESC_SLOW_TRAINING "Diminue la vitesse d'entraînement et d'étude."

BUFF_DESC_ENTERTAINER "Fait des blagues, augmentant le moral des créatures proches."

BUFF_DESC_BAD_BREATH "Diminue le moral de toutes les créatures proches."

BUFF_DESC_ON_FIRE "La créature brûle vive."

BUFF_DESC_FROZEN "La créature est gelée et ne peut pas bouger."

BUFF_DESC_MAGIC_CANCELLATION "Empêche de lancer un sort."

BUFF_DESC_DISAPPEAR_DURING_DAY "Cette créature n'est active que la nuit et disparaît à l'aube."

BUFF_DESC_NO_CARRY_LIMIT "La créature peut porter des objets sans limite de poids."

BUFF_DESC_SPYING "La créature peut s'infiltrer derrière les lignes ennemies."

BUFF_DESC_LIFE_SAVED "Empêche la mort de la créature."

BUFF_DESC_UNSTABLE "La créature peut devenir folle après avoir été témoin de la mort d'un allié."

BUFF_DESC_OIL "La créature est couverte d'huile et peut prendre feu."

BUFF_DESC_SWARMER "Accorde un bonus de dégâts et de défense pour chaque autre essaim proche."

BUFF_DESC_PSYCHIATRY "La créature ne sera pas attaquée par les créatures folles."

BUFF_DESC_TURNED_OFF "La créature nécessite plus de moteurs d'automate construits."

BUFF_DESC_DRUNK "Compromet les capacités de combat."

BUFF_DESC_NO_FRIENDLY_FIRE "Les flèches et autres projectiles traversent les alliés et ne touchent que les ennemis."

BUFF_DESC_POLYMORPHED "La créature retournera à sa forme d'origine."

BUFF_DESC_AGGRAVATES "Rend les ennemis plus agressifs et plus susceptibles d'attaquer la base."

BUFF_DESC_CAN_DANCE "Peut danser toute la nuit."

BUFF_DESC_STEED "Peut porter un cavalier."

BUFF_DESC_RIDER "Peut monter une monture."

BUFF_DESC_LOCKED_POSITION "Les créatures ne peuvent pas échanger de position avec cet automate."

CANT_CAST_SPELLS_BECAUSE_OF "Tu ne peux pas lancer de sorts sous l'effet de {1}."

FLIES_AWAY "{1} s'envole."

ITEM_TOO_HEAVY "{1} est trop lourd !"

OBJECT_CRASHES_ON "{1} s'écrase sur {2}."

PLURAL_ITEMS_A "{2} {1}"

PLURAL_ITEMS_THE "{2} {1}"

REACHES_EXP_LEVEL "{1} atteint le niveau d'expérience {2}."
SPECIAL_ATTR_ADJECTIVE "{1} {2} {3}"
TORTURES "{1} torture {2}."
WHIPS "{1} fouette {2}."
YOU_ARE_TOO_SMALL_TO_PUSH "Tu es trop petit pour pousser {1}."
YOU_NEED_TO_HANDS_TO_WIELD "Il te faut deux mains pour manier {1} !"
AGAINST "contre {1}"
CREATURES_WITH_AT_LEAST_X_KILLS "créatures avec au moins {1} meurtres"
CREATURES_WITH_ATTR_AT_LEAST "créatures avec au moins {1} {2}"
CREATURES_WITH_MAX_TRAINING_LEVEL_BELOW "créatures avec un niveau d'entraînement maximum inférieur à {1}"
ADD_INTRINSIC_ATTACK_EFFECT_DESCRIPTION "Ajoute une attaque supplémentaire de {1}"
ADD_INTRINSIC_ATTACK_EFFECT_NAME "attaque supplémentaire de {1}"
AREA_EFFECT_DESCRIPTION "Effet de zone de rayon {1} : {2}"
AREA_EFFECT_NAME "Effet de zone : {1}"
A_TRAP_IS_TRIGGERED "Un piège de {1} se déclenche"
BUFF_EFFECT_DESCRIPTION "{1} dure {2} tours."
COMPANION_EFFECT_DESCRIPTION "Accorde un compagnon permanent {1}"
CUSTOM_AREA_EFFECT_DESCRIPTION "Effet de zone personnalisé : {1}"
CUSTOM_AREA_EFFECT_NAME "Zone personnalisée : {1}"
DAMAGE_EFFECT_DESCRIPTION "Inflige {1}"
EMIT_GAS_DESCRIPTION "Émet {1}"
EXTRA_BODY_PART_EFFECT_DESCRIPTION "Ajoute un/une {1}"
EXTRA_BODY_PART_EFFECT_NAME "{1} supplémentaire"
EXTRA_BODY_PARTS_EFFECT_DESCRIPTION "Ajoute {1}"
EXTRA_BODY_PARTS_EFFECT_NAME "{1} supplémentaire"
FIXED_DAMAGE_EFFECT_DESCRIPTION "Inflige {2} {1}"
FIXED_DAMAGE_EFFECT_NAME "{2} {1}"
INJURE_BODY_PART_EFFECT_DESCRIPTION "Blesse {1}"
INJURE_BODY_PART_EFFECT_NAME "blesser {1}"
LOSE_BODY_PART_EFFECT_DESCRIPTION "Te fait perdre un/une {1}"
LOSE_BODY_PART_EFFECT_NAME "perdre {1}"
REMOVE_ABILITY_EFFECT_DESCRIPTION "Supprime la capacité : {1}"
REMOVE_ABILITY_EFFECT_NAME "supprimer {1}"
REMOVE_BUFF_DESCRIPTION "Supprime ou guérit de {1}"
REMOVE_BUFF_NAME "supprimer {1}"
SPELL_SCHOOL_EFFECT_DESCRIPTION "Accorde l'école de magie {1}"
SPELL_SCHOOL_EFFECT_NAME "Accorder l'école de magie {1}"
TECH_EFFECT_DESCRIPTION "Fournit {1}"
YOU_ARE_GRANTED_A_WISH "Un vœu t'est accordé ! Que souhaites-tu ?"
YOU_CANT_SWAP_POSITION_WITH "Tu ne peux pas échanger de position avec {1}"
OBJECT_FILLS_HOLE "{1} remplit le/la {2}."
STATUE_OF_SAINT "{1} de Saint {2}"
ACHIEVEMENT_UNLOCKED "Succès débloqué : {1}"
AND_SO_DIES "Et ainsi meurt {1}."
AND_SO_DIES_OF_REASON "Et ainsi meurt {1}, {2}."
NO_FUNCTIONAL_BODY_PART "Partie du corps non fonctionnelle : {1}"
X_TO_VILLAGE_ACTION " à {1}"
ITEM_BURNS_OUT "{1} se consume."
ITEM_CATCHES_FIRE "{1} prend feu."
ITEM_DISAPPEARS "{1} disparaît !"
ITEM_NAMED "nommé {1}"
ITEM_NAME_WITH_SUFFIXES "{1} {2}"
ITEM_PREFIX "{2} {1}"
ITEM_PREFIX_SHORT "{2}"
ITEM_PRICE "({1} or)"
ITEM_SUFFIX "{1} {2}"
ITEM_SUFFIXES "{1}"
USES_LEFT "{1} ({2} utilisations restantes)"
ITEM_ATTR_IMPROVED_BY "Les attributs de l'objet sont améliorés de {1}"
BALSAM_OF "baume de {1}"
"baumes de {1}" : plural
BODY_PART_OF "{1} {2}"
BOOK_OF "livre de {1}"
"livres de {1}" : plural
MUSHROOM_OF "champignon de {1}"
"champignons de {1}" : plural
POTION_OF "potion de {1}"
"potions de {1}" : plural
BREAKS_FREE_FROM "{1} se libère de {2}."
CAN_SEE_YOU_HIDING "{1} peut te voir caché."
CUTS_TENTACLE "{1} coupe le tentacule du kraken."
YOU_BECOME "Tu deviens {1}."
YOU_BURN_IN "Tu brûles dans le/la {1}."
YOU_DROWN_IN "Tu te noies dans le/la {1}."
ADDS_TRAINING_LEVELS "Ajoute jusqu'à {1} niveaux de {2}."
BUILDINGS_COUNT_AVAILABLE "({1} disponibles)"
CHALLENGES_YOU_TO_A_DUEL "{1} te défie en duel. Acceptes-tu ?"
COMBINE_SENTENCES "{1} {2}"
COST_DOUBLES_FOR_EVERY "Le coût double pour chaque {1} {2}."
FIRST_X_ARE_FREE "Les premiers {1} {2} sont gratuits."
INCREASES_LUXURY_BY "Augmente le luxe de {1}."
INCREASES_POP_LIMIT_BY "Augmente la limite de {1} de {2}."
INCREASES_POP_LIMIT_BY_UP_TO "Augmente la limite de {1} de {2}, jusqu'à {3}."
IS_ENGAGED_IN_A_FIGHT_WITH "{2} se bat contre {1}."
ITEM_INFO_NAME_COMPANION_STEED "{1} (compagnon)"
ITEM_WONT_BE_ASSIGNED_BECAUSE_SLOT_LOCKED "{1} ne sera pas assigné en permanence car l'emplacement est verrouillé."
JOINS_YOUR_TEAM "{1} rejoint ton équipe."
MISSING_TECHNOLOGY "Nécessite la technologie : {1}"
MULTIPLE_ITEMS "{1} {2}"
PERMANENT_TRAIT "Trait permanent : {1}"
TEMPORARY_TRAIT "Trait temporaire : {1} ({2} tours)"
TOME_ACQUIRED "Tu as acquis la connaissance de {1}."
TOME_ALREADY_KNOWN "Tu possèdes déjà la connaissance de {1}."
TOME_CANT_BE_USED "Tu ne comprends pas la connaissance de {1}."
CANT_TRAVEL_WHILE_BEING_ATTACKED_BY "Tu ne peux pas voyager pendant que tu es attaqué par {1}."
DROP_HOW_MANY "Combien de {1} lâcher ?"
WALKING_INTO_X_WARNING "Entrer dans le/la {1} ?"
EAT_AT_TASK "Manger à {1}"
FOLLOW_TASK "Suivre {1}"
WHIPPING_TASK "Fouetter {1}"
STOMACH "estomac"
CANT_MOVE "{1} ne peut pas bouger !"
YOU_CANT_MOVE "Tu ne peux pas bouger !"
GROUP "groupe"
HUMANOIDS "humanoïdes"
FIRE_EFFECT_DESCRIPTION "Brûle !"
FIRE_EFFECT_NAME "feu"
HE "il"
HER "elle"
HIS "son"
IT "il/elle"
ITS "son/sa"
SHE "elle"
FAST_GAME_SPEED "rapide"
RANGED_WEAPON "arme à distance"
RANGED_WEAPONS "armes à distance"
BALSAM "baume"
CORPSE "cadavre"
FIRE "feu"
GLYPH "glyphe {1}"
"glyphes {1}" : plural
GLYPH_BLIND "glyphe"
UPGRADE_TYPE_GLYPH "glyphe"
UPGRADE_TYPE_BALSAM "baume"
UPGRADE_TYPE_BODY_PART "partie du corps"
UPGRADE_TYPE_AUTOMATON_PART "partie d'automate"
LEGS "jambes"
POEM "poème"
POEM_WITH_TYPE "{1} {2}"
SCROLL "parchemin"
SKELETON "squelette"
SKULL "crâne"
SPELL "sort"
ABILITY "capacité"
PLAGUE "peste"
STOPS_BURNING "{1} cesse de brûler."
FEELS_THE_PRESENCE_OF_A_MAGICAL_FIELD "{1} ressent la présence d'un champ magique."
YOU_FEEL_THE_PRESENCE_OF_A_MAGICAL_FIELD "Tu ressens la présence d'un champ magique."
RENAME_MINION "Renommer le sbire"
RECEIVE "Tu reçois {1}."
RECEIVES "{1} reçoit {2}."
IS_KILLED "{1} est {2}."
MORE_ADJECTIVE "plus {1}"
NOT "pas {1}"
PERMANENT_LASTING_DESCRIPTION "{1} L'effet est permanent"
PERMANENT_LASTING_NAME "permanent {1}"
ACTIVITY_ON_OFF_HINT_FOR_GROUP "Clique pour désactiver cette activité pour tous les {1}."
COUNT_ITEM_AVAILABLE "({1} objets disponibles)"
DISABLE_FOR_ALL_GROUP "Désactiver pour tous les {1}."
DUNGEON_REQUIRED_MODS "Nécessite les mods : {1}"
EXPERIENCE_TYPE "Type d'expérience : {1}"
QUARTERS_LUXURY "Luxe total : {1}"
SETTING_WILL_APPLY_TO_ALL "Le paramètre s'appliquera à tous les {1}."
SPELL_LEVEL "Niveau {1}"
TRAINING_LIMIT_TOOLTIP "La limite de la créature pour ce type d'entraînement est de {1}."
TRAINING_TYPE_TOOLTIP "Entraînement de {1}."
UNLOCKS_ITEM_TYPE "Débloque {1} :"
UPGRADABLE_WITH_UP_TO "Améliorable avec jusqu'à {1} {2}."
WORK_EFFICIENCY_MULTIPLIER_HINT "Multiplicateur d'efficacité de travail : {1}"
WORLD_MAP_OF "Carte de {1}"
FALLS_ASLEEP "{1} s'endort."
IS "{1} est {2}."
IS_NO_LONGER "{1} n'est plus {2}."
ITEM_HITS "{2} touche {1}."
ITEM_MISSES "{2} rate {1}."
ITEMS_CRASH "{2} s'écrasent sur {1}."
ITEMS_HIT "{2} touchent {1}."
ITEMS_MISS "{2} ratent {1}."
YOU_DIE "Tu meurs !"
YOU_DIE_OF "Tu meurs de."
REQUIRES_A "Nécessite un/une {1}"
CANT_TRAVEL_WHILE "{1} ne peut pas voyager pendant qu'il/elle est {2}."
OR "{1} ou {2}"
KILL_TITLE "tueur de {1}"
MINION_GROUP "{1} {2}"
YOU_HAVE_CONQUERED_THIS_LAND "Tu as conquis cette terre. Tu as tué {1} ennemis et obtenu {2} points. Merci d'avoir joué à KeeperRL !"
DEATHS "{1} morts"
COLD_BLOODED_MURDERS "{1} meurtres de sang-froid"
CHOPPED_HEADS "{1} têtes coupées"
CHOPPED_LIMBS "{1} membres coupés"
SPELLS_CAST "{1} sorts lancés"
SCROLLS_READ "{1} parchemins lus"
WEAPONS_PRODUCED "{1} armes produites"
PIECES_OF_ARMOR_PRODUCED "{1} pièces d'armure produites"
POTIONS_PRODUCED "{1} potions produites"
ACHIEVED_WORLD_DOMINATION "a atteint la domination mondiale"
YOU_HAVE_SURVIVED "Tu as survécu sur cette terre pendant {1} tours. Tu as tué {2} ennemis."
TURNS_DEFENDING_THE_BASE "{1} tours à défendre la base."
TURNS_SPENT_ATTACKING "{1} tours à t'aventurer et attaquer."
THANK_YOU_FOR_PLAYING "Merci d'avoir joué à KeeperRL !"
RETIRED_GAME_RESULT "retiré"
YOU_KILLED_AND_SCORED "Tu as tué {1} ennemis et obtenu {2} points."
OF "{1} de {2}"
ITEM_BURNS "{1} brûle dans le/la {2}."
ITEMS_BURN "{1} brûlent dans le/la {2}."
ITEM_SINKS "{1} coule dans le/la {2}."
ITEMS_SINK "{1} coulent dans le/la {2}."
NO_LONGER_SUPER "n'est plus super"
SUPER "super"
YOU_START_BLEEDING "Tu commences à saigner."
STARTS_BLEEDING "{1} commence à saigner."
YOU_STOP_BLEEDING "Ton saignement s'arrête."
STOPS_BLEEDING "{1} arrête de saigner."
MORE_MASCULINE "plus masculin"
MORE_FEMININE "plus féminin"
MORE_NEUTER "plus neutre"
PRISONER_FROM_NAME "{1} (prisonnier)"
DEFENSE_BONUS_AGAINST "Accorde un bonus de défense de +{1} contre {2}."
ALCHEMY_TECH_NAME "alchimie"
INCENDIARY_ALCHEMY_TECH_NAME "alchimie incendiaire"
ADVANCED_ALCHEMY_TECH_NAME "alchimie avancée"
EMBALMING_TECH_NAME "embaumement"
ADVANCED_EMBALMING_TECH_NAME "embaumement avancé"
MASTER_EMBALMING_TECH_NAME "embaumement magistral"
NECROMANCY_TECH_NAME "nécromancie"
ADVANCED_NECROMANCY_TECH_NAME "nécromancie avancée"
MASTER_NECROMANCY_TECH_NAME "nécromancie magistrale"
ALCHEMICAL_CONVERSION_TECH_NAME "conversion alchimique"
HUMANOID_MUTATION_TECH_NAME "mutation humanoïde"
BEAST_MUTATION_TECH_NAME "mutation bestiale"
CHICKEN_BREEDING_TECH_NAME "élevage de poulets"
PIG_BREEDING_TECH_NAME "élevage de porcs"
COW_BREEDING_TECH_NAME "élevage de vaches"
IRON_WORKING_TECH_NAME "travail du fer"
JEWELLERY_TECH_NAME "joaillerie"
DISTILLATION_TECH_NAME "distillation"
TWO_HANDED_WEAPONS_TECH_NAME "armes à deux mains"
TRAPS_TECH_NAME "pièges"
ADVANCED_TRAPS_TECH_NAME "pièges avancés"
ARCHERY_TECH_NAME "tir à l'arc"
SORCERY_TECH_NAME "sorcellerie"
ADVANCED_SORCERY_TECH_NAME "sorcellerie avancée"
MAGICAL_WEAPONS_TECH_NAME "armes magiques"
MASTER_SORCERY_TECH_NAME "sorcellerie magistrale"
DEMONOLOGY_TECH_NAME "démonologie"
WORSHIP_TECH_NAME "adoration"
AUTOMATONS_TECH_NAME "automates"
AUTOMATED_CRAFTING_TECH_NAME "fabrication automatisée"
ADVANCED_AUTOMATONS_TECH_NAME "automates avancés"
AUTOMATON_BRAINS_TECH_NAME "cerveaux d'automate"
AERODYNAMICS_TECH_NAME "aérodynamique"
EXPLOSIVES_TECH_NAME "explosifs"
LUXURY_TECH_NAME "luxe"
SMALL_TEMPTATIONS_TECH_NAME "petites tentations"
BIG_TEMPTATIONS_TECH_NAME "grandes tentations"
SLAVERY_TECH_NAME "esclavage"
DARK_CRAFTS_TECH_NAME "arts sombres"
ADVANCED_THEOLOGY_TECH_NAME "théologie avancée"
EXPERT_THEOLOGY_TECH_NAME "théologie experte"
WORSHIP_OF_ADOXIE_TECH_NAME "adoration d'Adoxie"
ACHIEVEMENTS_ASSASSIN_ID "Repaire secret d'un assassin découvert"
ACHIEVEMENTS_BLACK_MARKET_ID "Marché Noir découvert"
ACHIEVEMENTS_BLACK_MASS_ID1 "Tu as dédié les âmes des tiens et de tes sbires au Dieu Maléfique Adoxie"
ACHIEVEMENTS_BLACK_MASS_ID "Tu as célébré une Messe Noire"
ACHIEVEMENTS_BLACKSMITH_STASH_ID "Cachette d'artisan découverte"
ACHIEVEMENTS_CAPTURED_PRISONER_ID1 "Tu as réussi à asservir un ennemi pour l'utiliser dans tes méfaits maléfiques."
ACHIEVEMENTS_CAPTURED_PRISONER_ID "Tu as capturé un prisonnier"
ACHIEVEMENTS_CONVERTED_PRISONER_ID1 "Tu as réussi à agrandir ton armée en utilisant des ennemis asservis."
ACHIEVEMENTS_CONVERTED_PRISONER_ID "Tu as converti un prisonnier"
ACHIEVEMENTS_GUARD_POST_STASH_ID "Cachette du culte d'Adoxie découverte"
ACHIEVEMENTS_KILLED_BALROG_ID1 "Tu as vaincu un autre ennemi terrifiant des profondeurs du monde."
ACHIEVEMENTS_KILLED_BALROG_ID "Tu as tué ou capturé un démon de feu"
ACHIEVEMENTS_KILLED_BLACK_DRAGON_COLORINFO "Tu as tué ou capturé un dragon noir"
ACHIEVEMENTS_KILLED_BY_ADOXIE_ID "Tué par le Dieu Maléfique Adoxie"
ACHIEVEMENTS_KILLED_BY_PIG_ID "Tué par un cochon"
ACHIEVEMENTS_KILLED_KIRIN_ID "Tu as tué ou capturé un ki-rin"
ACHIEVEMENTS_KILLED_KRAKEN_ID "Tu as tué un kraken"
ACHIEVEMENTS_KILLED_MINOTAUR_ID "Tu as tué ou capturé un minotaure"
ACHIEVEMENTS_LESSER_VILLAIN_ID1 "Tu es sur la bonne voie pour devenir un Gardien respectable."
ACHIEVEMENTS_LESSER_VILLAIN_ID "Tu as conquis un vilain mineur"
